Datetime,Water Level (m)
2024-05-22 06:00:00,0.7583885
2024-05-22 07:00:00,0.79467857
2024-05-22 08:00:00,0.6689862
2024-05-22 09:00:00,0.42124572
2024-05-22 10:00:00,0.22678506
2024-05-22 11:00:00,0.07270529
2024-05-22 12:00:00,-0.039558932
2024-05-22 13:00:00,-0.14250645
2024-05-22 14:00:00,-0.2036422
2024-05-22 15:00:00,0.022009239
2024-05-22 16:00:00,0.3391278
2024-05-22 17:00:00,0.51929986
2024-05-22 18:00:00,0.6706
2024-05-22 19:00:00,0.6569177
2024-05-22 20:00:00,0.46365333
2024-05-22 21:00:00,0.20707403
2024-05-22 22:00:00,0.02748255
2024-05-22 23:00:00,-0.1224866
2024-05-23 00:00:00,-0.22410575
2024-05-23 01:00:00,-0.32267988
2024-05-23 02:00:00,-0.3645714
2024-05-23 03:00:00,-0.08204542
2024-05-23 04:00:00,0.2672875
2024-05-23 05:00:00,0.52869207
2024-05-23 06:00:00,0.7937248
2024-05-23 07:00:00,0.9256977
2024-05-23 08:00:00,0.905817
2024-05-23 09:00:00,0.6847655
2024-05-23 10:00:00,0.44340813
2024-05-23 11:00:00,0.26625386
2024-05-23 12:00:00,0.12509902
2024-05-23 13:00:00,0.014005153
2024-05-23 14:00:00,-0.089060105
2024-05-23 15:00:00,-0.09337201
2024-05-23 16:00:00,0.2249009
2024-05-23 17:00:00,0.4828351
2024-05-23 18:00:00,0.65726197
2024-05-23 19:00:00,0.7796649
2024-05-23 20:00:00,0.712803
2024-05-23 21:00:00,0.45634076
2024-05-23 22:00:00,0.22016004
2024-05-23 23:00:00,0.04544643
2024-05-24 00:00:00,-0.08564669
2024-05-24 01:00:00,-0.18738727
2024-05-24 02:00:00,-0.27725452
2024-05-24 03:00:00,-0.22619176
2024-05-24 04:00:00,0.18645142
2024-05-24 05:00:00,0.49863473
2024-05-24 06:00:00,0.7732003
2024-05-24 07:00:00,1.00324
2024-05-24 08:00:00,1.0638301
2024-05-24 09:00:00,0.95225596
2024-05-24 10:00:00,0.6725153
2024-05-24 11:00:00,0.4629088
2024-05-24 12:00:00,0.2944482
2024-05-24 13:00:00,0.17248356
2024-05-24 14:00:00,0.055914678
2024-05-24 15:00:00,-0.025135998
2024-05-24 16:00:00,0.11841704
2024-05-24 17:00:00,0.46329278
2024-05-24 18:00:00,0.67336065
2024-05-24 19:00:00,0.84855264
2024-05-24 20:00:00,0.9130085
2024-05-24 21:00:00,0.8020727
2024-05-24 22:00:00,0.5483637
2024-05-24 23:00:00,0.35662302
2024-05-25 00:00:00,0.19975723
2024-05-25 01:00:00,0.09073251
2024-05-25 02:00:00,-0.0057243756
2024-05-25 03:00:00,-0.045513354
2024-05-25 04:00:00,0.23880734
2024-05-25 05:00:00,0.6597051
2024-05-25 06:00:00,0.9714232
2024-05-25 07:00:00,1.288646
2024-05-25 08:00:00,1.4581287
2024-05-25 09:00:00,1.4563582
2024-05-25 10:00:00,1.2650242
2024-05-25 11:00:00,1.022734
2024-05-25 12:00:00,0.8359985
2024-05-25 13:00:00,0.6799144
2024-05-25 14:00:00,0.5759664
2024-05-25 15:00:00,0.48346236
2024-05-25 16:00:00,0.50313795
2024-05-25 17:00:00,0.77678925
2024-05-25 18:00:00,1.0714496
2024-05-25 19:00:00,1.2720705
2024-05-25 20:00:00,1.387769
2024-05-25 21:00:00,1.347184
2024-05-25 22:00:00,1.1655345
2024-05-25 23:00:00,0.9416909
2024-05-26 00:00:00,0.7552541
2024-05-26 01:00:00,0.6107929
2024-05-26 02:00:00,0.5227197
2024-05-26 03:00:00,0.4572035
2024-05-26 04:00:00,0.5104696
2024-05-26 05:00:00,0.8621283
2024-05-26 06:00:00,1.2109512
2024-05-26 07:00:00,1.4922538
2024-05-26 08:00:00,1.711876
2024-05-26 09:00:00,1.7981887
2024-05-26 10:00:00,1.7049136
2024-05-26 11:00:00,1.4535716
2024-05-26 12:00:00,1.2257916
2024-05-26 13:00:00,1.0471262
2024-05-26 14:00:00,0.9050797
2024-05-26 15:00:00,0.7848193
2024-05-26 16:00:00,0.67402285
2024-05-26 17:00:00,0.6580053
2024-05-26 18:00:00,0.871001
2024-05-26 19:00:00,1.0987014
2024-05-26 20:00:00,1.2325451
2024-05-26 21:00:00,1.3009517
2024-05-26 22:00:00,1.1880547
2024-05-26 23:00:00,0.9334595
2024-05-27 00:00:00,0.7197172
2024-05-27 01:00:00,0.5499834
2024-05-27 02:00:00,0.42921045
2024-05-27 03:00:00,0.32726842
2024-05-27 04:00:00,0.2586332
2024-05-27 05:00:00,0.3951111
2024-05-27 06:00:00,0.77169985
2024-05-27 07:00:00,1.0484618
2024-05-27 08:00:00,1.3132837
2024-05-27 09:00:00,1.488684
2024-05-27 10:00:00,1.5216696
2024-05-27 11:00:00,1.3748833
2024-05-27 12:00:00,1.0998995
2024-05-27 13:00:00,0.9005728
2024-05-27 14:00:00,0.7432874
2024-05-27 15:00:00,0.6220713
2024-05-27 16:00:00,0.49782312
2024-05-27 17:00:00,0.40558642
2024-05-27 18:00:00,0.45394307
2024-05-27 19:00:00,0.71048194
2024-05-27 20:00:00,0.8993558
2024-05-27 21:00:00,1.0309322
2024-05-27 22:00:00,1.070126
2024-05-27 23:00:00,0.9360712
2024-05-28 00:00:00,0.6727371
2024-05-28 01:00:00,0.47576135
2024-05-28 02:00:00,0.32688236
2024-05-28 03:00:00,0.22568807
2024-05-28 04:00:00,0.14080042
2024-05-28 05:00:00,0.1117587
2024-05-28 06:00:00,0.34131765
